date,team,opponent,teamOdds,drawOdds,opponentOdds
02-Dec-17,London Irish,Gloucester,5.81,29.08,1.14
02-Dec-17,Bath,Exeter,4.95,23.39,1.22
03-Dec-17,Harlequins,Saracens,4.65,25.19,1.21
03-Dec-17,Saracens,Harlequins,1.21,25.19,4.65
22-Dec-17,Worcester,London Irish,1.25,22.68,4.26
22-Dec-17,London Irish,Worcester,4.26,22.68,1.25
23-Dec-17,Newcastle,Harlequins,1.38,21.96,3.79
23-Dec-17,Northampton,Exeter,3.26,21.51,1.36
23-Dec-17,Sale,Bath,1.64,19.15,2.36
23-Dec-17,Wasps,Gloucester,1.33,22.82,3.42
23-Dec-17,Harlequins,Newcastle,3.79,21.96,1.38
23-Dec-17,Exeter,Northampton,1.36,21.51,3.26
23-Dec-17,Bath,Sale,2.36,19.15,1.64
23-Dec-17,Gloucester,Wasps,3.42,22.82,1.33
24-Dec-17,Leicester,Saracens,2.44,19.99,1.66
24-Dec-17,Saracens,Leicester,1.66,19.99,2.44
29-Dec-17,Bath,Wasps,1.77,20.07,2.13
29-Dec-17,Wasps,Bath,2.13,20.07,1.77
30-Dec-17,Harlequins,Northampton,1.37,22.35,3.18
30-Dec-17,Gloucester,Sale,1.35,22.59,3.32
30-Dec-17,London Irish,Newcastle,2.57,21.52,1.56
30-Dec-17,Saracens,Worcester,1.03,41.2,13.57
30-Dec-17,Northampton,Harlequins,3.18,22.35,1.37
30-Dec-17,Sale,Gloucester,3.32,22.59,1.35
30-Dec-17,Newcastle,London Irish,1.56,21.52,2.57
30-Dec-17,Worcester,Saracens,13.57,41.2,1.03
31-Dec-17,Exeter,Leicester,1.21,24.46,4.56
31-Dec-17,Leicester,Exeter,4.56,24.46,1.21
05-Jan-18,Worcester,Bath,2.42,19.35,1.67
05-Jan-18,Bath,Worcester,1.67,19.35,2.42
06-Jan-18,Leicester,London Irish,1.07,38.4,8.36
06-Jan-18,Northampton,Gloucester,2.28,19.9,1.68
06-Jan-18,Sale,Harlequins,1.4,21.28,3.12
06-Jan-18,London Irish,Leicester,8.36,38.4,1.07
06-Jan-18,Gloucester,Northampton,1.68,19.9,2.28
06-Jan-18,Harlequins,Sale,3.12,21.28,1.4
07-Jan-18,Newcastle,Exeter,2.92,20.48,1.43
07-Jan-18,Wasps,Saracens,2.6,19.99,1.53
07-Jan-18,Exeter,Newcastle,1.43,20.48,2.92
07-Jan-18,Saracens,Wasps,1.53,19.99,2.6
09-Feb-18,Bath,Northampton,1.44,21.07,2.94
09-Feb-18,Northampton,Bath,2.94,21.07,1.44
10-Feb-18,London Irish,Sale,1.94,18.93,1.92
10-Feb-18,Gloucester,Leicester,1.3,21.72,3.69
10-Feb-18,Saracens,Newcastle,1.14,30.25,5.81
10-Feb-18,Exeter,Worcester,1.08,37.31,8.66
10-Feb-18,Sale,London Irish,1.92,18.93,1.94
10-Feb-18,Leicester,Gloucester,3.69,21.72,1.3
10-Feb-18,Newcastle,Saracens,5.81,30.25,1.14
10-Feb-18,Worcester,Exeter,8.66,37.31,1.08
11-Feb-18,Harlequins,Wasps,2.96,21.63,1.47
11-Feb-18,Wasps,Harlequins,1.47,21.63,2.96
16-Feb-18,Newcastle,Bath,1.51,20.78,3.2
16-Feb-18,Sale,Saracens,3.01,20.81,1.45
16-Feb-18,Bath,Newcastle,3.2,20.78,1.51
16-Feb-18,Saracens,Sale,1.45,20.81,3.01
17-Feb-18,Leicester,Harlequins,1.28,24.49,3.83
17-Feb-18,Northampton,London Irish,1.19,26.77,5.21
17-Feb-18,Worcester,Gloucester,2.18,20.73,1.81
17-Feb-18,Harlequins,Leicester,3.83,24.49,1.28
17-Feb-18,London Irish,Northampton,5.21,26.77,1.19
17-Feb-18,Gloucester,Worcester,1.81,20.73,2.18
18-Feb-18,Wasps,Exeter,1.55,20.92,2.55
18-Feb-18,Exeter,Wasps,2.55,20.92,1.55
24-Feb-18,Bath,Sale,1.45,21.52,2.89
24-Feb-18,Gloucester,Wasps,1.67,20.54,2.29
24-Feb-18,Harlequins,Newcastle,1.59,20.61,2.46
24-Feb-18,Exeter,Northampton,1.11,31.21,6.63
24-Feb-18,Sale,Bath,2.89,21.52,1.45
24-Feb-18,Wasps,Gloucester,2.29,20.54,1.67
24-Feb-18,Newcastle,Harlequins,2.46,20.61,1.59
24-Feb-18,Northampton,Exeter,6.63,31.21,1.11
25-Feb-18,Saracens,Leicester,1.15,28.49,5.59
25-Feb-18,London Irish,Worcester,2.21,20.11,1.71
25-Feb-18,Leicester,Saracens,5.59,28.49,1.15
25-Feb-18,Worcester,London Irish,1.71,20.11,2.21
03-Mar-18,Gloucester,Newcastle,1.49,21.08,2.73
03-Mar-18,Northampton,Sale,1.55,20.26,2.55
03-Mar-18,Newcastle,Gloucester,2.73,21.08,1.49
03-Mar-18,Sale,Northampton,2.55,20.26,1.55
04-Mar-18,Exeter,Saracens,1.4,21.23,3.14
04-Mar-18,Harlequins,Bath,1.85,20.25,2.02
04-Mar-18,Wasps,London Irish,1.07,35.75,8.43
04-Mar-18,Worcester,Leicester,2.3,20.6,1.66
04-Mar-18,Saracens,Exeter,3.14,21.23,1.4
04-Mar-18,Bath,Harlequins,2.02,20.25,1.85
04-Mar-18,London Irish,Wasps,8.43,35.75,1.07
04-Mar-18,Leicester,Worcester,1.66,20.6,2.3
23-Mar-18,Bath,Exeter,2.2,19.5,1.74
23-Mar-18,Exeter,Bath,1.74,19.5,2.2
24-Mar-18,Newcastle,Northampton,1.19,24.56,4.96
24-Mar-18,London Irish,Gloucester,2.52,20.41,1.56
24-Mar-18,Sale,Worcester,1.18,25.45,5.12
24-Mar-18,Saracens,Harlequins,1.18,27.11,4.96
24-Mar-18,Northampton,Newcastle,4.96,24.56,1.19
24-Mar-18,Gloucester,London Irish,1.56,20.41,2.52
24-Mar-18,Worcester,Sale,5.12,25.45,1.18
24-Mar-18,Harlequins,Saracens,4.96,27.11,1.18
25-Mar-18,Leicester,Wasps,1.66,20.69,2.29
25-Mar-18,Wasps,Leicester,2.29,20.69,1.66
06-Apr-18,Sale,Wasps,2.1,20.4,1.78
06-Apr-18,Wasps,Sale,1.78,20.4,2.1
07-Apr-18,Harlequins,London Irish,1.15,30.07,5.45
07-Apr-18,Worcester,Newcastle,2.27,20.96,1.68
07-Apr-18,Bath,Leicester,2.07,20.52,1.82
07-Apr-18,Northampton,Saracens,4.5,26.71,1.21
07-Apr-18,London Irish,Harlequins,5.45,30.07,1.15
07-Apr-18,Newcastle,Worcester,1.68,20.96,2.27
07-Apr-18,Leicester,Bath,1.82,20.52,2.07
07-Apr-18,Saracens,Northampton,1.21,26.71,4.5
08-Apr-18,Exeter,Gloucester,1.15,29.57,5.52
08-Apr-18,Gloucester,Exeter,5.52,29.57,1.15
13-Apr-18,Newcastle,Sale,1.42,22.22,2.96
13-Apr-18,Sale,Newcastle,2.96,22.22,1.42
14-Apr-18,Gloucester,Harlequins,1.28,22.44,3.82
14-Apr-18,Leicester,Northampton,1.09,33.74,7.42
14-Apr-18,Wasps,Worcester,1.06,38.54,8.89
14-Apr-18,Harlequins,Gloucester,3.82,22.44,1.28
14-Apr-18,Northampton,Leicester,7.42,33.74,1.09
14-Apr-18,Worcester,Wasps,8.89,38.54,1.06
15-Apr-18,London Irish,Exeter,5.08,27.99,1.17
15-Apr-18,Saracens,Bath,1.08,34.99,7.94
15-Apr-18,Exeter,London Irish,1.17,27.99,5.08
15-Apr-18,Bath,Saracens,7.94,34.99,1.08
27-Apr-18,Leicester,Newcastle,1.19,24.54,4.71
27-Apr-18,Newcastle,Leicester,4.71,24.54,1.19
28-Apr-18,Exeter,Sale,1.1,33.33,6.91
28-Apr-18,Gloucester,Bath,1.27,23.58,3.9
28-Apr-18,Worcester,Harlequins,1.48,21.56,2.72
28-Apr-18,Sale,Exeter,6.91,33.33,1.1
28-Apr-18,Bath,Gloucester,3.9,23.58,1.27
28-Apr-18,Harlequins,Worcester,2.72,21.56,1.48
29-Apr-18,London Irish,Saracens,9.29,40.92,1.05
29-Apr-18,Wasps,Northampton,1.08,34.7,7.44
29-Apr-18,Saracens,London Irish,1.05,40.92,9.29
29-Apr-18,Northampton,Wasps,7.44,34.7,1.08
05-May-18,Bath,London Irish,1.06,39.75,8.97
05-May-18,Harlequins,Exeter,4.28,25.38,1.22
05-May-18,Newcastle,Wasps,2.13,20.11,1.76
05-May-18,Northampton,Worcester,1.3,23.4,3.57
05-May-18,Sale,Leicester,1.55,21.59,2.51
05-May-18,Saracens,Gloucester,1.03,46.37,12.63
05-May-18,London Irish,Bath,8.97,39.75,1.06
05-May-18,Exeter,Harlequins,1.22,25.38,4.28
05-May-18,Wasps,Newcastle,1.76,20.11,2.13
05-May-18,Worcester,Northampton,3.57,23.4,1.3
05-May-18,Leicester,Sale,2.51,21.59,1.55
05-May-18,Gloucester,Saracens,12.63,46.37,1.03
19-May-18,Exeter,Newcastle,1.1,31.49,6.91
19-May-18,Saracens,Wasps,1.16,28.5,5.21
19-May-18,Newcastle,Exeter,6.91,31.49,1.1
19-May-18,Wasps,Saracens,5.21,28.5,1.16
26-May-18,Exeter,Saracens,2.49,20.69,1.59
26-May-18,Saracens,Exeter,1.59,20.69,2.49
31-Aug-18,Bristol,Bath,3.2,21.55,1.37
31-Aug-18,Bath,Bristol,1.37,21.55,3.2
01-Sep-18,Exeter,Leicester,1.28,24.14,3.8
01-Sep-18,Harlequins,Sale,1.54,21.18,2.55
01-Sep-18,Worcester,Wasps,2.35,20.92,1.64
01-Sep-18,Gloucester,Northampton,1.4,22.73,3.02
01-Sep-18,Leicester,Exeter,3.8,24.14,1.28
01-Sep-18,Sale,Harlequins,2.55,21.18,1.54
01-Sep-18,Wasps,Worcester,1.64,20.92,2.35
01-Sep-18,Northampton,Gloucester,3.02,22.73,1.4
02-Sep-18,Newcastle,Saracens,3.83,22.87,1.28
02-Sep-18,Saracens,Newcastle,1.28,22.87,3.83
07-Sep-18,Northampton,Harlequins,1.38,22.28,3.14
07-Sep-18,Harlequins,Northampton,3.14,22.28,1.38
08-Sep-18,Bath,Gloucester,1.72,20.59,2.19
08-Sep-18,Leicester,Newcastle,1.37,22.05,3.19
08-Sep-18,Saracens,Bristol,1.01,57.86,16.07
08-Sep-18,Wasps,Exeter,2.5,20.65,1.56
08-Sep-18,Gloucester,Bath,2.19,20.59,1.72
08-Sep-18,Newcastle,Leicester,3.19,22.05,1.37
08-Sep-18,Bristol,Saracens,16.07,57.86,1.01
08-Sep-18,Exeter,Wasps,1.56,20.65,2.5
09-Sep-18,Sale,Worcester,1.26,23.3,3.89
09-Sep-18,Worcester,Sale,3.89,23.3,1.26
14-Sep-18,Gloucester,Bristol,1.13,31.63,6.16
14-Sep-18,Bristol,Gloucester,6.16,31.63,1.13
15-Sep-18,Exeter,Sale,1.05,49.91,9.33
15-Sep-18,Harlequins,Bath,1.41,20.7,2.98
15-Sep-18,Northampton,Saracens,3.44,22.66,1.32
15-Sep-18,Worcester,Newcastle,1.66,19.05,2.33
15-Sep-18,Sale,Exeter,9.33,49.91,1.05
15-Sep-18,Bath,Harlequins,2.98,20.7,1.41
15-Sep-18,Saracens,Northampton,1.32,22.66,3.44
15-Sep-18,Newcastle,Worcester,2.33,19.05,1.66
16-Sep-18,Wasps,Leicester,1.41,20.6,2.98
16-Sep-18,Leicester,Wasps,2.98,20.6,1.41
21-Sep-18,Newcastle,Exeter,3.96,22.81,1.26
21-Sep-18,Exeter,Newcastle,1.26,22.81,3.96
22-Sep-18,Bath,Northampton,1.48,20.39,2.77
22-Sep-18,Bristol,Harlequins,1.92,19.72,1.94
22-Sep-18,Sale,Wasps,2.3,19.55,1.67
22-Sep-18,Northampton,Bath,2.77,20.39,1.48
22-Sep-18,Harlequins,Bristol,1.94,19.72,1.92
22-Sep-18,Wasps,Sale,1.67,19.55,2.3
23-Sep-18,Leicester,Worcester,1.15,27.99,5.44
23-Sep-18,Saracens,Gloucester,1.13,29.01,5.73
23-Sep-18,Worcester,Leicester,5.44,27.99,1.15
23-Sep-18,Gloucester,Saracens,5.73,29.01,1.13
28-Sep-18,Newcastle,Wasps,1.57,20.52,2.53
28-Sep-18,Wasps,Newcastle,2.53,20.52,1.57
29-Sep-18,Bristol,Northampton,2.17,18.98,1.74
29-Sep-18,Exeter,Worcester,1.04,48.71,10.42
29-Sep-18,Gloucester,Harlequins,1.22,25,4.3
29-Sep-18,Saracens,Bath,1.01,66.88,13.94
29-Sep-18,Northampton,Bristol,1.74,18.98,2.17
29-Sep-18,Worcester,Exeter,10.42,48.71,1.04
29-Sep-18,Harlequins,Gloucester,4.3,25,1.22
29-Sep-18,Bath,Saracens,13.94,66.88,1.01
30-Sep-18,Leicester,Sale,1.23,24.74,4.12
30-Sep-18,Sale,Leicester,4.12,24.74,1.23
05-Oct-18,Bath,Exeter,2.92,20.85,1.43
05-Oct-18,Exeter,Bath,1.43,20.85,2.92
06-Oct-18,Harlequins,Saracens,3.66,22,1.3
06-Oct-18,Northampton,Leicester,1.76,18.4,2.14
06-Oct-18,Sale,Newcastle,1.63,19.64,2.36
06-Oct-18,Wasps,Gloucester,1.42,21.24,2.99
06-Oct-18,Saracens,Harlequins,1.3,22,3.66
06-Oct-18,Leicester,Northampton,2.14,18.4,1.76
06-Oct-18,Newcastle,Sale,2.36,19.64,1.63
06-Oct-18,Gloucester,Wasps,2.99,21.24,1.42
07-Oct-18,Worcester,Bristol,1.45,20.55,2.83
07-Oct-18,Bristol,Worcester,2.83,20.55,1.45
16-Nov-18,Gloucester,Leicester,1.16,25.58,5.21
16-Nov-18,Harlequins,Newcastle,1.52,19.74,2.62
16-Nov-18,Leicester,Gloucester,5.21,25.58,1.16
16-Nov-18,Newcastle,Harlequins,2.62,19.74,1.52
17-Nov-18,Northampton,Wasps,2.15,20.59,1.74
17-Nov-18,Saracens,Sale,1.32,21.58,3.37
17-Nov-18,Bath,Worcester,1.46,21.12,2.84
17-Nov-18,Wasps,Northampton,1.74,20.59,2.15
17-Nov-18,Sale,Saracens,3.37,21.58,1.32
17-Nov-18,Worcester,Bath,2.84,21.12,1.46
18-Nov-18,Bristol,Exeter,3.99,23.03,1.25
18-Nov-18,Exeter,Bristol,1.25,23.03,3.99
23-Nov-18,Newcastle,Bath,1.6,19.41,2.41
23-Nov-18,Worcester,Harlequins,1.59,19.33,2.43
23-Nov-18,Bath,Newcastle,2.41,19.41,1.6
23-Nov-18,Harlequins,Worcester,2.43,19.33,1.59
24-Nov-18,Exeter,Gloucester,1.33,20.41,3.42
24-Nov-18,Sale,Northampton,1.29,22.05,3.57
24-Nov-18,Wasps,Bristol,1.34,21.6,3.33
24-Nov-18,Gloucester,Exeter,3.42,20.41,1.33
24-Nov-18,Northampton,Sale,3.57,22.05,1.29
24-Nov-18,Bristol,Wasps,3.33,21.6,1.34
25-Nov-18,Leicester,Saracens,2.49,20.32,1.55
25-Nov-18,Saracens,Leicester,1.55,20.32,2.49
30-Nov-18,Harlequins,Exeter,2.32,19.77,1.64
30-Nov-18,Exeter,Harlequins,1.64,19.77,2.32
01-Dec-18,Gloucester,Worcester,1.14,27.97,5.61
01-Dec-18,Northampton,Newcastle,1.42,20.5,2.97
01-Dec-18,Saracens,Wasps,1.1,31.68,6.86
01-Dec-18,Bristol,Leicester,2.21,19.82,1.71
01-Dec-18,Worcester,Gloucester,5.61,27.97,1.14
01-Dec-18,Newcastle,Northampton,2.97,20.5,1.42
01-Dec-18,Wasps,Saracens,6.86,31.68,1.1
01-Dec-18,Leicester,Bristol,1.71,19.82,2.21
02-Dec-18,Bath,Sale,1.47,19.79,2.77
02-Dec-18,Sale,Bath,2.77,19.79,1.47
21-Dec-18,Worcester,Northampton,1.67,19.58,2.29
21-Dec-18,Northampton,Worcester,2.29,19.58,1.67
22-Dec-18,Exeter,Saracens,1.86,19.67,2.02
22-Dec-18,Leicester,Harlequins,1.41,22.05,2.96
22-Dec-18,Sale,Bristol,1.29,23.13,3.7
22-Dec-18,Saracens,Exeter,2.02,19.67,1.86
22-Dec-18,Harlequins,Leicester,2.96,22.05,1.41
22-Dec-18,Bristol,Sale,3.7,23.13,1.29
23-Dec-18,Newcastle,Gloucester,1.73,19.66,2.16
23-Dec-18,Wasps,Bath,1.44,21.02,2.85
23-Dec-18,Gloucester,Newcastle,2.16,19.66,1.73
23-Dec-18,Bath,Wasps,2.85,21.02,1.44
28-Dec-18,Northampton,Exeter,2.76,20.56,1.49
28-Dec-18,Exeter,Northampton,1.49,20.56,2.76
29-Dec-18,Harlequins,Wasps,1.68,21.02,2.22
29-Dec-18,Gloucester,Sale,1.41,21.14,2.94
29-Dec-18,Saracens,Worcester,1.05,40.97,9.33
29-Dec-18,Wasps,Harlequins,2.22,21.02,1.68
29-Dec-18,Sale,Gloucester,2.94,21.14,1.41
29-Dec-18,Worcester,Saracens,9.33,40.97,1.05
30-Dec-18,Bath,Leicester,1.46,20.82,2.81
30-Dec-18,Bristol,Newcastle,1.57,19.71,2.49
30-Dec-18,Leicester,Bath,2.81,20.82,1.46
30-Dec-18,Newcastle,Bristol,2.49,19.71,1.57
04-Jan-19,Sale,Saracens,2.87,20.45,1.45
04-Jan-19,Saracens,Sale,1.45,20.45,2.87
05-Jan-19,Exeter,Bristol,1.04,43.38,9.79
05-Jan-19,Leicester,Gloucester,1.54,20.22,2.55
05-Jan-19,Newcastle,Harlequins,1.73,19.64,2.18
05-Jan-19,Worcester,Bath,2.01,19.36,1.85
05-Jan-19,Bristol,Exeter,9.79,43.38,1.04
05-Jan-19,Gloucester,Leicester,2.55,20.22,1.54
05-Jan-19,Harlequins,Newcastle,2.18,19.64,1.73
05-Jan-19,Bath,Worcester,1.85,19.36,2.01
06-Jan-19,Wasps,Northampton,1.42,21.4,2.92
06-Jan-19,Northampton,Wasps,2.92,21.4,1.42
15-Feb-19,Bristol,Wasps,1.76,19.77,2.15
15-Feb-19,Gloucester,Exeter,1.72,20.09,2.16
15-Feb-19,Wasps,Bristol,2.15,19.77,1.76
15-Feb-19,Exeter,Gloucester,2.16,20.09,1.72
16-Feb-19,Bath,Newcastle,1.13,26.82,5.82
16-Feb-19,Harlequins,Worcester,1.27,22.4,4.08
16-Feb-19,Saracens,Leicester,1.09,32.16,7.19
16-Feb-19,Northampton,Sale,1.59,20.27,2.41
16-Feb-19,Newcastle,Bath,5.82,26.82,1.13
16-Feb-19,Worcester,Harlequins,4.08,22.4,1.27
16-Feb-19,Leicester,Saracens,7.19,32.16,1.09
16-Feb-19,Sale,Northampton,2.41,20.27,1.59
22-Feb-19,Gloucester,Saracens,1.54,20.02,2.57
22-Feb-19,Saracens,Gloucester,2.57,20.02,1.54
23-Feb-19,Northampton,Bath,1.68,20.28,2.25
23-Feb-19,Exeter,Newcastle,1.07,37.03,8.01
23-Feb-19,Harlequins,Bristol,1.25,23.86,3.99
23-Feb-19,Wasps,Sale,1.43,22.32,2.88
23-Feb-19,Bath,Northampton,2.25,20.28,1.68
23-Feb-19,Newcastle,Exeter,8.01,37.03,1.07
23-Feb-19,Bristol,Harlequins,3.99,23.86,1.25
23-Feb-19,Sale,Wasps,2.88,22.32,1.43
24-Feb-19,Worcester,Leicester,1.43,21.3,2.9
24-Feb-19,Leicester,Worcester,2.9,21.3,1.43
01-Mar-19,Bristol,Gloucester,2.75,21.12,1.46
01-Mar-19,Gloucester,Bristol,1.46,21.12,2.75
02-Mar-19,Bath,Harlequins,1.33,22.1,3.38
02-Mar-19,Leicester,Wasps,1.68,19.69,2.27
02-Mar-19,Sale,Exeter,2.49,19.94,1.57
02-Mar-19,Saracens,Northampton,1.21,24.09,4.47
02-Mar-19,Harlequins,Bath,3.38,22.1,1.33
02-Mar-19,Wasps,Leicester,2.27,19.69,1.68
02-Mar-19,Exeter,Sale,1.57,19.94,2.49
02-Mar-19,Northampton,Saracens,4.47,24.09,1.21
03-Mar-19,Newcastle,Worcester,1.58,19.37,2.48
03-Mar-19,Worcester,Newcastle,2.48,19.37,1.58
08-Mar-19,Sale,Leicester,1.17,23.63,5.25
08-Mar-19,Bath,Saracens,2.42,19.09,1.6
08-Mar-19,Leicester,Sale,5.25,23.63,1.17
08-Mar-19,Saracens,Bath,1.6,19.09,2.42
09-Mar-19,Worcester,Exeter,3.2,21.55,1.36
09-Mar-19,Northampton,Bristol,1.31,22.46,3.55
09-Mar-19,Wasps,Newcastle,1.38,21.13,3.13
09-Mar-19,Exeter,Worcester,1.36,21.55,3.2
09-Mar-19,Bristol,Northampton,3.55,22.46,1.31
09-Mar-19,Newcastle,Wasps,3.13,21.13,1.38
10-Mar-19,Harlequins,Gloucester,1.72,19.46,2.19
10-Mar-19,Gloucester,Harlequins,2.19,19.46,1.72
22-Mar-19,Leicester,Northampton,1.63,19.63,2.34
22-Mar-19,Northampton,Leicester,2.34,19.63,1.63
23-Mar-19,Newcastle,Sale,1.63,19.95,2.35
23-Mar-19,Bristol,Worcester,1.58,19.28,2.5
23-Mar-19,Gloucester,Wasps,1.25,22.48,4.05
23-Mar-19,Saracens,Harlequins,1.31,22.28,3.58
23-Mar-19,Sale,Newcastle,2.35,19.95,1.63
23-Mar-19,Worcester,Bristol,2.5,19.28,1.58
23-Mar-19,Wasps,Gloucester,4.05,22.48,1.25
23-Mar-19,Harlequins,Saracens,3.58,22.28,1.31
24-Mar-19,Exeter,Bath,1.17,26.13,5.05
24-Mar-19,Bath,Exeter,5.05,26.13,1.17
05-Apr-19,Sale,Harlequins,1.43,20.79,2.91
05-Apr-19,Harlequins,Sale,2.91,20.79,1.43
06-Apr-19,Leicester,Exeter,2.97,21.21,1.41
06-Apr-19,Saracens,Newcastle,1.11,29.07,6.48
06-Apr-19,Wasps,Worcester,1.28,22.39,3.72
06-Apr-19,Bath,Bristol,1.28,22.03,3.74
06-Apr-19,Exeter,Leicester,1.41,21.21,2.97
06-Apr-19,Newcastle,Saracens,6.48,29.07,1.11
06-Apr-19,Worcester,Wasps,3.72,22.39,1.28
06-Apr-19,Bristol,Bath,3.74,22.03,1.28
07-Apr-19,Northampton,Gloucester,1.6,19.37,2.41
07-Apr-19,Gloucester,Northampton,2.41,19.37,1.6
12-Apr-19,Newcastle,Leicester,1.45,20.8,2.82
12-Apr-19,Leicester,Newcastle,2.82,20.8,1.45
13-Apr-19,Bristol,Saracens,2.72,22.42,1.48
13-Apr-19,Gloucester,Bath,1.48,21.63,2.72
13-Apr-19,Harlequins,Northampton,1.59,21.21,2.41
13-Apr-19,Worcester,Sale,1.82,19.61,2.06
13-Apr-19,Saracens,Bristol,1.48,22.42,2.72
13-Apr-19,Bath,Gloucester,2.72,21.63,1.48
13-Apr-19,Northampton,Harlequins,2.41,21.21,1.59
13-Apr-19,Sale,Worcester,2.06,19.61,1.82
14-Apr-19,Exeter,Wasps,1.14,30.21,5.68
14-Apr-19,Wasps,Exeter,5.68,30.21,1.14
26-Apr-19,Newcastle,Northampton,1.97,19.52,1.88
26-Apr-19,Sale,Bath,1.64,19.73,2.34
26-Apr-19,Northampton,Newcastle,1.88,19.52,1.97
26-Apr-19,Bath,Sale,2.34,19.73,1.64
27-Apr-19,Wasps,Saracens,3.25,22.42,1.36
27-Apr-19,Leicester,Bristol,1.41,20.89,3.05
27-Apr-19,Exeter,Harlequins,1.15,25.87,5.77
27-Apr-19,Saracens,Wasps,1.36,22.42,3.25
27-Apr-19,Bristol,Leicester,3.05,20.89,1.41
27-Apr-19,Harlequins,Exeter,5.77,25.87,1.15
28-Apr-19,Worcester,Gloucester,2.26,20.54,1.68
28-Apr-19,Gloucester,Worcester,1.68,20.54,2.26
03-May-19,Bristol,Sale,1.64,20.45,2.33
03-May-19,Harlequins,Leicester,1.19,24.86,4.74
03-May-19,Sale,Bristol,2.33,20.45,1.64
03-May-19,Leicester,Harlequins,4.74,24.86,1.19
04-May-19,Gloucester,Newcastle,1.14,30.92,5.81
04-May-19,Northampton,Worcester,1.19,25.95,4.63
04-May-19,Saracens,Exeter,1.38,21.85,3.13
04-May-19,Newcastle,Gloucester,5.81,30.92,1.14
04-May-19,Worcester,Northampton,4.63,25.95,1.19
04-May-19,Exeter,Saracens,3.13,21.85,1.38
05-May-19,Bath,Wasps,1.39,21.61,3.07
05-May-19,Wasps,Bath,3.07,21.61,1.39
18-May-19,Exeter,Northampton,1.32,22.4,3.5
18-May-19,Leicester,Bath,2.71,20.65,1.5
18-May-19,Newcastle,Bristol,2.36,20.09,1.64
18-May-19,Sale,Gloucester,1.09,34.43,7.14
18-May-19,Wasps,Harlequins,1.69,20.41,2.24
18-May-19,Worcester,Saracens,1.71,19.84,2.2
18-May-19,Northampton,Exeter,3.5,22.4,1.32
18-May-19,Bath,Leicester,1.5,20.65,2.71
18-May-19,Bristol,Newcastle,1.64,20.09,2.36
18-May-19,Gloucester,Sale,7.14,34.43,1.09
18-May-19,Harlequins,Wasps,2.24,20.41,1.69
18-May-19,Saracens,Worcester,2.2,19.84,1.71
25-May-19,Exeter,Northampton,1.14,28.65,5.89
25-May-19,Saracens,Gloucester,1.13,31.38,6.03
25-May-19,Northampton,Exeter,5.89,28.65,1.14
25-May-19,Gloucester,Saracens,6.03,31.38,1.13
01-Jun-19,Exeter,Saracens,3.57,21.65,1.32
01-Jun-19,Saracens,Exeter,1.32,21.65,3.57
18-Oct-19,Bristol,Bath,1.33,22.03,3.51
18-Oct-19,Bath,Bristol,3.51,22.03,1.33
19-Oct-19,Exeter,Harlequins,1.24,25.87,4.22
19-Oct-19,Sale,Gloucester,1.45,21.57,2.85
19-Oct-19,Saracens,Northampton,1.1,31.76,6.8
19-Oct-19,Worcester,Leicester,1.37,21.11,3.22
19-Oct-19,Harlequins,Exeter,4.22,25.87,1.24
19-Oct-19,Gloucester,Sale,2.85,21.57,1.45
19-Oct-19,Northampton,Saracens,6.8,31.76,1.1
19-Oct-19,Leicester,Worcester,3.22,21.11,1.37
20-Oct-19,Wasps,London Irish,1.11,30.74,6.46
20-Oct-19,London Irish,Wasps,6.46,30.74,1.11
25-Oct-19,Bath,Exeter,2.96,21.43,1.42
25-Oct-19,Exeter,Bath,1.42,21.43,2.96
26-Oct-19,Gloucester,Wasps,1.2,23.72,4.67
26-Oct-19,Harlequins,Bristol,1.4,19.79,3.04
26-Oct-19,London Irish,Sale,2.97,20.43,1.43
26-Oct-19,Northampton,Worcester,1.22,23.1,4.39
26-Oct-19,Wasps,Gloucester,4.67,23.72,1.2
26-Oct-19,Bristol,Harlequins,3.04,19.79,1.4
26-Oct-19,Sale,London Irish,1.43,20.43,2.97
26-Oct-19,Worcester,Northampton,4.39,23.1,1.22
27-Oct-19,Leicester,Saracens,2.73,21.19,1.49
27-Oct-19,Saracens,Leicester,1.49,21.19,2.73
01-Nov-19,Bristol,Sale,1.57,20.09,2.54
01-Nov-19,Northampton,Harlequins,1.45,20.75,2.87
01-Nov-19,Sale,Bristol,2.54,20.09,1.57
01-Nov-19,Harlequins,Northampton,2.87,20.75,1.45
02-Nov-19,Leicester,Gloucester,3.22,21.04,1.38
02-Nov-19,Saracens,London Irish,1.06,42.37,8.56
02-Nov-19,Wasps,Bath,1.46,20.72,2.82
02-Nov-19,Gloucester,Leicester,1.38,21.04,3.22
02-Nov-19,London Irish,Saracens,8.56,42.37,1.06
02-Nov-19,Bath,Wasps,2.82,20.72,1.46
03-Nov-19,Worcester,Exeter,3.71,22.9,1.29
03-Nov-19,Exeter,Worcester,1.29,22.9,3.71
08-Nov-19,Sale,Wasps,1.24,23.58,4.12
08-Nov-19,Wasps,Sale,4.12,23.58,1.24
09-Nov-19,Bath,Northampton,1.84,19.47,2.03
09-Nov-19,Gloucester,Saracens,1.35,20.97,3.33
09-Nov-19,Harlequins,Worcester,1.22,24.16,4.46
09-Nov-19,Northampton,Bath,2.03,19.47,1.84
